Datecadangan,Close,warna,ML,symbol
2009-01-08,974.3729858398438,red,LR,ANTM
2009-01-09,1049.969970703125,red,LR,ANTM
2009-01-12,1024.77001953125,red,LR,ANTM
2009-01-13,965.9730224609376,red,LR,ANTM
2009-01-14,965.9730224609376,red,LR,ANTM
2009-01-15,890.375,red,LR,ANTM
2009-01-16,940.7739868164062,red,LR,ANTM
2009-01-19,940.7739868164062,red,LR,ANTM
2009-01-20,932.3740234375,red,LR,ANTM
2009-01-21,915.5750122070312,red,LR,ANTM
2009-01-22,923.9749755859376,red,LR,ANTM
2009-01-23,890.375,red,LR,ANTM
2009-01-27,940.7739868164062,red,LR,ANTM
2009-01-28,923.9749755859376,red,LR,ANTM
2009-01-29,923.9749755859376,red,LR,ANTM
2009-01-30,932.3740234375,red,LR,ANTM
2009-02-02,907.1749877929688,red,LR,ANTM
2009-02-03,898.7750244140625,red,LR,ANTM
2009-02-04,898.7750244140625,red,LR,ANTM
2009-02-05,907.1749877929688,red,LR,ANTM
2009-02-06,932.3740234375,red,LR,ANTM
2009-02-09,915.5750122070312,red,LR,ANTM
2009-02-10,974.3729858398438,red,LR,ANTM
2009-02-11,974.3729858398438,red,LR,ANTM
2009-02-12,932.3740234375,red,LR,ANTM
2009-02-13,965.9730224609376,red,LR,ANTM
2009-02-16,940.7739868164062,red,LR,ANTM
2009-02-17,932.3740234375,red,LR,ANTM
2009-02-18,923.9749755859376,red,LR,ANTM
2009-02-19,957.573974609375,red,LR,ANTM
2009-02-20,957.573974609375,red,LR,ANTM
2009-02-23,1033.1700439453123,red,LR,ANTM
2009-02-24,1033.1700439453123,red,LR,ANTM
2009-02-25,1007.969970703125,red,LR,ANTM
