Datecadangan,Close,warna
2006-05-09,4825.0,red
2006-05-10,4800.0,red
2006-05-11,4750.0,red
2006-05-12,4700.0,red
2006-05-15,4375.0,red
2006-05-16,4550.0,red
2006-05-17,4450.0,red
2006-05-18,4275.0,red
2006-05-19,4225.0,red
2006-05-22,4200.0,red
2006-05-23,4125.0,red
2006-05-24,4050.0,red
2006-05-29,4000.0,red
2006-05-30,4175.0,red
2006-05-31,4025.0,red
2006-06-01,4200.0,red
2006-06-02,4300.0,red
2006-06-05,4225.0,red
2006-06-06,4125.0,red
2006-06-07,4050.0,red
2006-06-08,3900.0,red
2006-06-09,3950.0,red
2006-06-12,3900.0,red
2006-06-13,3725.0,red
2006-06-14,3675.0,red
2006-06-15,3825.0,red
2006-06-16,4175.0,red
2006-06-19,4150.0,red
2006-06-20,4150.0,red
2006-06-21,4100.0,red
2006-06-22,4125.0,red
2006-06-23,4050.0,red
2006-06-26,4000.0,red
2006-06-27,4025.0,red
2006-06-28,4000.0,red
2006-06-29,4050.0,red
2006-06-30,4125.0,red
2006-07-03,4100.0,red
2006-07-04,4175.0,red
2006-07-05,4200.0,red
2006-07-06,4275.0,red
2006-07-07,4300.0,red
2006-07-10,4300.0,red
2006-07-11,4225.0,red
2006-07-12,4325.0,red
2006-07-13,4225.0,red
2006-07-14,4150.0,red
2006-07-17,4150.0,red
2006-07-18,4200.0,red
2006-07-19,4250.0,red
2006-07-20,4200.0,red
2006-07-21,4150.0,red
2006-07-24,4150.0,red
2006-07-25,4150.0,red
2006-07-26,4225.0,red
2006-07-27,4200.0,red
2006-07-28,4225.0,red
2006-07-31,4225.0,red
2006-08-01,4250.0,red
2006-08-02,4275.0,red
2006-08-03,4300.0,red
2006-08-04,4300.0,red
2006-08-07,4325.0,red
2006-08-08,4225.0,red
2006-08-09,4350.0,red
2006-08-10,4275.0,red
2006-08-11,4325.0,red
2006-08-14,4325.0,red
2006-08-15,4325.0,red
2006-08-16,4350.0,red
2006-08-22,4325.0,red
2006-08-23,4275.0,red
2006-08-24,4225.0,red
2006-08-25,4250.0,red
2006-08-28,4250.0,red
2006-08-29,4250.0,red
2006-08-30,4300.0,red
2006-08-31,4475.0,red
2006-09-01,4500.0,red
2006-09-04,4500.0,red
2006-09-05,4525.0,red
2006-09-06,4500.0,red
2006-09-07,4475.0,red
2006-09-08,4425.0,red
2006-09-11,4375.0,red
2006-09-12,4350.0,red
2006-09-13,4425.0,red
2006-09-14,4400.0,red
2006-09-15,4425.0,red
2006-09-18,4450.0,red
2006-09-19,4550.0,red
2006-09-20,4400.0,red
2006-09-21,4475.0,red
2006-09-22,4500.0,red
2006-09-25,4500.0,red
2006-09-26,4500.0,red
2006-09-27,4500.0,red
2006-09-28,4575.0,red
2006-09-29,4600.0,red
2006-10-02,4575.0,red
2006-10-03,4650.0,red
2006-10-04,4675.0,red
2006-10-05,4675.0,red
2006-10-06,4675.0,red
2006-10-09,4650.0,red
2006-10-10,4700.0,red
2006-10-11,4700.0,red
2006-10-12,4700.0,red
2006-10-13,4800.0,red
2006-10-16,4800.0,red
2006-10-17,4750.0,red
2006-10-18,4650.0,red
2006-10-19,4700.0,red
2006-10-20,4800.0,red
2006-10-30,4850.0,red
2006-10-31,4800.0,red
2006-11-01,4850.0,red
2006-11-02,4925.0,red
2006-11-03,4950.0,red
2006-11-06,5025.0,red
2006-11-07,5050.0,red
2006-11-08,5200.0,red
2006-11-09,5200.0,red
2006-11-10,5100.0,red
2006-11-13,5000.0,red
2006-11-14,5100.0,red
2006-11-15,5150.0,red
2006-11-16,5000.0,red
2006-11-17,5150.0,red
2006-11-20,5150.0,red
2006-11-21,5150.0,red
2006-11-22,5350.0,red
2006-11-23,5550.0,red
2006-11-24,5550.0,red
2006-11-27,5500.0,red
2006-11-28,5750.0,red
2006-11-29,5850.0,red
2006-11-30,6000.0,red
2006-12-01,6050.0,red
2006-12-04,6150.0,red
2006-12-05,6300.0,red
2006-12-06,6300.0,red
2006-12-07,6300.0,red
2006-12-08,6300.0,red
2006-12-11,6300.0,red
2006-12-12,6350.0,red
2006-12-13,6250.0,red
2006-12-14,6500.0,red
2006-12-15,6600.0,red
2006-12-18,6800.0,red
2006-12-19,6400.0,red
2006-12-20,6450.0,red
2006-12-21,6650.0,red
2006-12-22,6600.0,red
2006-12-26,6600.0,red
2006-12-27,6550.0,red
2006-12-28,6550.0,red
2006-12-29,6600.0,red
2007-01-02,6650.0,red
2007-01-03,6500.0,red
2007-01-04,6350.0,red
2007-01-05,6450.0,red
2007-01-08,6350.0,red
2007-01-09,6100.0,red
2007-01-10,5700.0,red
2007-01-11,5800.0,red
2007-01-12,6200.0,red
2007-01-15,6150.0,red
2007-01-16,6300.0,red
2007-01-17,6200.0,red
2007-01-18,6200.0,red
2007-01-19,6350.0,red
2007-01-22,6250.0,red
2007-01-23,6100.0,red
2007-01-24,6050.0,red
2007-01-25,5950.0,red
2007-01-26,5850.0,red
2007-01-29,5850.0,red
2007-01-30,5800.0,red
2007-01-31,5850.0,red
2007-02-01,5850.0,red
2007-02-02,6150.0,red
2007-02-05,6100.0,red
2007-02-06,5950.0,red
2007-02-07,5950.0,red
2007-02-08,5900.0,red
2007-02-09,49.0,red
2007-02-12,5900.0,red
2007-02-13,5800.0,red
2007-02-14,5700.0,red
2007-02-15,5900.0,red
2007-02-16,5800.0,red
2007-02-19,5800.0,red
2007-02-20,5750.0,red
2007-02-21,5900.0,red
2007-02-22,5800.0,red
2007-02-23,5750.0,red
2007-02-26,5700.0,red
2007-02-27,5650.0,red
2007-02-28,5600.0,red
2007-03-01,5650.0,red
2007-03-02,5550.0,red
2007-03-05,5500.0,red
2007-03-06,5550.0,red
2007-03-07,5500.0,red
2007-03-08,5550.0,red
2007-03-09,5600.0,red
2007-03-12,5600.0,red
2007-03-13,5650.0,red
2007-03-14,5550.0,red
2007-03-15,5450.0,red
2007-03-16,5650.0,red
2007-03-20,5300.0,red
2007-03-21,5450.0,red
2007-03-22,5550.0,red
2007-03-23,5600.0,red
2007-03-26,5650.0,red
2007-03-27,5700.0,red
2007-03-28,5650.0,red
2007-03-29,5700.0,red
2007-03-30,5700.0,red
2007-04-02,5600.0,red
