Datecadangan,Predictions,warna
2012-01-19,9500.667770473985,blue
2012-01-20,9502.87179554673,blue
2012-01-24,9511.68789583724,blue
2012-01-25,9513.891920909751,blue
2012-01-26,9516.095945982495,blue
2012-01-27,9518.299971055007,blue
2012-01-30,9524.912046273006,blue
2012-01-31,9527.11607134575,blue
2012-02-01,9529.320096418262,blue
2012-02-02,9531.524121491006,blue
2012-02-03,9533.728146563517,blue
2012-02-06,9540.340221781516,blue
2012-02-07,9542.544246854028,blue
2012-02-08,9544.748271926772,blue
2012-02-09,9546.952296999283,blue
2012-02-10,9549.156322072027,blue
2012-02-13,9555.768397289794,blue
2012-02-14,9557.972422362538,blue
2012-02-15,9560.17644743505,blue
2012-02-16,9562.380472507793,blue
2012-02-17,9564.584497580538,blue
2012-02-20,9571.196572798304,blue
2012-02-21,9573.400597871048,blue
2012-02-22,9575.60462294356,blue
2012-02-23,9577.808648016304,blue
2012-02-24,9580.012673088815,blue
2012-02-27,9586.624748306815,blue
2012-02-28,9588.828773379326,blue
2012-02-29,9591.03279845207,blue
2012-03-01,9593.236823524581,blue
2012-03-02,9595.440848597325,blue
2012-03-05,9602.052923815325,blue
2012-03-06,9604.256948887836,blue
2012-03-07,9606.46097396058,blue
2012-03-08,9608.664999033092,blue
2012-03-09,9610.869024105836,blue
2012-03-12,9617.481099323602,blue
2012-03-13,9619.685124396347,blue
2012-03-14,9621.889149468858,blue
2012-03-15,9624.093174541602,blue
2012-03-16,9626.297199614113,blue
2012-03-19,9632.909274832113,blue
2012-03-20,9635.113299904857,blue
2012-03-21,9637.317324977368,blue
2012-03-22,9639.521350050112,blue
2012-03-26,9648.337450340623,blue
2012-03-27,9650.541475413134,blue
2012-03-28,9652.745500485878,blue
2012-03-29,9654.94952555839,blue
2012-03-30,9657.153550631134,blue
2012-04-02,9663.7656258489,blue
2012-04-03,9665.969650921645,blue
2012-04-04,9668.173675994156,blue
2012-04-05,9670.3777010669,blue
2012-04-09,9679.19380135741,blue
2012-04-10,9681.397826430155,blue
